 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,654.499,275.620,399.858,43.805,1597,5,102.844,20.933
2,591.518,232.937,401.170,36.540,1332,18,118.482,20.848
3,287.587,585.550,405.902,23.284,3408,15,108.834,17.391
4,228.838,636.001,406.474,20.398,3693,136,53.514,14.659
5,286.303,329.603,400.785,24.842,1913,194,85.662,15.098
6,502.738,134.817,397.162,36.730,708,56,126.870,19.264
7,118.345,433.407,402.125,17.470,2522,58,99.002,9.054
8,197.231,384.394,401.649,21.088,2185,132,25.942,13.213
9,446.149,77.299,396.148,37.245,374,72,132.397,15.583
10,516.805,32.010,396.739,30.798,94,144,3.180,21.879
11,532.215,183.222,397.702,33.936,978,137,4.620,19.975
12,45.499,535.576,404.624,9.886,3106,99,9.951,6.405
13,19.058,483.401,403.300,6.717,2827,83,97.306,4.049
14,384.043,633.615,357.174,26.535,3667,317,130.561,19.489
15,445.536,88.007,349.885,31.512,506,317,94.041,19.508
16,465.732,283.903,349.440,33.564,1612,325,112.126,18.728
17,338.894,482.028,352.452,26.336,2767,339,140.528,16.992
18,702.071,37.214,349.156,37.413,141,488,41.112,25.407
19,407.304,132.516,347.488,35.063,721,336,124.077,15.912
20,560.962,233.033,349.623,37.767,1274,338,131.332,20.068
21,227.788,588.195,354.077,23.808,3369,383,4.115,12.853
22,153.863,433.313,351.980,19.690,2507,449,51.340,10.600
23,112.128,384.208,353.708,15.889,2224,439,53.746,9.667
24,459.136,180.907,349.254,31.484,974,392,170.947,18.942
25,264.502,534.277,348.275,23.903,3053,426,6.566,14.421
26,108.101,336.365,350.378,14.958,1925,405,166.122,10.301
27,486.278,183.126,300.087,36.577,1043,597,107.673,17.762
28,557.927,232.055,298.229,38.904,1355,598,97.063,19.048
29,1247.565,79.149,299.897,58.657,297,620,149.551,33.067
30,312.190,588.737,307.393,25.445,3394,622,145.670,16.704
31,210.043,634.905,307.066,24.093,3661,704,38.089,12.127
32,393.558,131.722,299.585,28.147,749,784,77.735,19.566
33,515.375,31.890,302.558,33.341,101,657,148.835,22.550
34,371.406,283.598,301.089,29.446,1604,628,121.477,16.921
35,276.760,536.638,304.779,24.643,3065,693,16.928,14.624
36,195.451,336.061,301.732,22.396,1928,757,65.194,11.684
37,300.662,488.677,303.481,24.979,2782,679,176.864,16.005
38,79.821,435.371,302.813,13.805,2535,651,102.144,7.858
39,169.973,381.942,298.481,20.098,2208,763,54.689,11.677
40,4.407,322.888,292.587,3.056,1885,760,63.435,2.054
41,590.030,182.173,250.064,37.241,1041,1097,80.494,21.119
42,778.914,29.160,250.171,39.730,140,1106,69.617,26.650
43,757.989,81.575,250.878,39.824,377,1052,41.348,26.168
