 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
44,462.434,591.014,257.340,33.397,3371,938,163.048,18.536
45,519.811,129.261,249.926,34.101,725,911,103.619,21.696
46,285.369,538.676,252.908,27.677,3107,912,118.780,13.514
47,296.897,234.285,249.974,27.296,1342,933,118.811,14.532
48,478.894,289.000,250.917,34.331,1585,978,163.820,17.995
49,206.775,640.332,255.168,22.044,3690,938,144.462,12.811
50,361.017,434.810,253.088,30.296,2470,1011,15.368,16.379
51,107.984,486.190,251.500,16.974,2809,966,139.899,8.837
52,21.626,382.870,252.928,6.912,2228,998,39.987,4.387
53,84.578,336.755,250.066,13.517,1937,1013,20.726,8.268
54,1029.087,80.097,199.362,50.699,377,1184,124.011,26.298
55,536.943,183.948,205.419,34.484,1025,1182,114.280,20.683
56,724.047,130.631,197.777,38.071,710,1398,68.962,29.113
57,298.911,487.519,206.335,27.301,2793,1196,127.372,14.724
58,346.628,333.866,202.018,28.566,1903,1341,59.448,16.564
59,399.803,233.848,201.402,31.261,1344,1370,65.116,17.978
60,708.958,28.802,197.963,42.407,84,1220,146.502,21.522
61,328.884,287.730,198.932,28.429,1648,1217,123.977,16.001
62,274.688,641.518,204.880,26.148,3676,1266,173.246,13.975
63,10.477,326.916,210.118,6.548,1890,1235,164.876,3.606
64,388.655,590.765,200.806,32.447,3361,1300,13.085,15.625
65,251.369,431.828,200.120,24.535,2469,1317,19.949,14.111
66,37.561,541.275,203.717,8.944,3143,1282,28.523,5.620
67,271.974,384.966,197.565,25.642,2189,1337,32.208,14.434
68,1353.681,493.140,154.194,56.286,2738,1658,20.800,32.420
69,604.360,544.108,152.111,40.022,3112,1663,58.617,21.785
70,686.778,281.563,157.147,41.036,1538,1476,140.744,22.892
71,698.306,228.748,150.011,40.860,1251,1660,49.918,22.779
72,582.675,591.792,150.778,37.397,3407,1683,66.011,20.874
73,656.192,181.446,149.520,39.602,993,1497,114.464,22.541
74,974.949,83.260,146.314,49.895,384,1521,140.697,28.684
75,426.099,133.434,152.379,31.276,725,1506,122.735,18.022
76,678.664,333.460,150.790,40.456,1876,1665,36.241,21.985
77,825.085,437.608,149.915,47.874,2457,1654,30.683,26.073
78,941.824,31.146,150.130,48.484,44,1587,169.442,26.102
79,463.806,385.148,151.086,33.722,2185,1636,31.113,19.244
80,383.431,643.459,148.664,33.008,3691,1657,37.641,16.816
81,939.577,334.192,101.002,49.095,1852,1988,57.361,26.937
82,937.943,383.296,100.007,49.592,2175,1765,115.506,24.884
83,927.436,599.552,96.627,45.319,3388,1979,43.320,28.419
84,609.146,443.517,97.581,42.401,2541,2005,60.026,18.340
85,1254.627,544.012,97.194,54.677,3038,1902,178.926,33.598
86,730.030,279.991,99.787,41.869,1533,1961,31.485,23.669
87,1335.002,27.903,92.728,57.988,30,2019,26.414,30.727
88,183.544,87.265,101.745,18.199,477,1833,122.347,13.307
89,130.456,182.419,100.130,15.994,1027,1897,13.591,10.957
90,144.290,494.764,99.081,17.169,2870,1934,58.841,11.694
91,133.200,134.885,96.424,17.289,785,1847,101.976,10.426
92,87.263,642.666,100.141,13.549,3722,1864,166.139,8.542
93,112.654,231.832,95.120,17.356,1306,1888,159.246,9.076
94,1659.129,81.168,45.047,69.471,337,2376,49.888,31.680
95,864.280,135.086,50.170,48.568,655,2252,34.249,26.154
96,650.034,228.428,47.399,43.489,1339,2068,93.829,22.531
97,511.085,34.605,50.170,34.499,112,2236,34.713,21.013
98,800.686,334.903,46.285,46.272,1844,2250,35.685,24.480
99,437.160,183.553,46.963,33.166,1012,2276,59.340,18.362
100,734.232,281.847,42.823,46.718,1537,2289,41.442,21.436
101,94.413,491.878,49.050,15.074,2859,2215,66.631,8.749
102,421.896,439.184,44.720,32.036,2498,2160,147.412,18.308
103,82.389,645.117,50.779,12.538,3742,2186,19.916,8.838
104,36.452,386.072,51.796,8.794,2236,2167,7.815,5.808
105,54.868,593.631,50.987,11.210,3444,2158,172.117,6.611
106,72.495,540.773,47.218,12.831,3132,2194,3.053,7.973
107,12.929,113.146,28.079,5.427,649,2294,151.821,3.719
